route_id,trip_id,service_id,direction_id,shape_id
15220,1057514,4,1,53
15220,1057515,4,0,52
15220,1057516,4,1,53
15220,1057517,4,0,52
15220,1057518,4,1,53
15220,1057520,4,0,52
15220,1057521,4,1,53
15220,1057522,4,0,52
15220,1057523,4,1,53
15220,1057525,4,0,52
15220,1057526,4,1,53
15220,1057527,4,0,52
15220,1057528,4,1,53
15220,1057529,4,0,52
15220,1057530,4,1,53
15190,1061449,6,0,139771
15190,1061450,6,1,37
15190,1061451,6,0,139771
15190,1061452,6,1,37
15190,1061453,6,0,139771
15190,1061454,6,1,37
15190,1061455,6,0,139771
15190,1061456,6,1,37
15190,1061458,6,0,139771
15190,1061459,6,1,37
15190,1061461,6,0,139771
15190,1061462,6,1,37
15190,1061463,6,0,139771
15190,1061464,6,1,37
15190,1061467,6,0,139771
15190,1061468,6,1,37
15190,1061470,6,0,139771
15190,1061471,6,1,37
15190,1061473,6,0,139771
15190,1061474,6,1,37
15190,1061475,6,0,139771
15190,1061476,6,1,37
15190,1061477,6,0,139771
15190,1061478,6,1,37
15190,1061481,6,0,139771
15190,1061482,6,1,37
15190,1061483,6,0,139771
15190,1061484,6,1,37
15190,1061485,6,0,139771
15190,1061486,6,1,37
15190,1061488,6,0,139771
15190,1061489,6,1,37
15190,1061490,6,0,139771
15190,1061491,6,1,37
15190,1061494,6,0,139771
15190,1061495,6,1,37
15190,1061496,6,0,139771
15190,1061497,6,1,37
15190,1061498,6,0,139771
15190,1061499,6,1,37
15190,1061501,6,0,139771
15190,1061502,6,1,37
15190,1061503,6,0,139771
15190,1061504,6,1,37
15190,1061505,6,0,139771
15190,1061506,6,1,37
15190,1061507,6,0,139771
15190,1061508,6,1,37
15190,1061510,6,0,139771
15190,1061511,6,1,37
15190,1061512,6,0,139771
15190,1061513,6,1,37
15190,1061514,6,0,139771
15190,1061515,6,1,37
15190,1061517,6,0,139771
15190,1061518,6,1,37
15190,1061519,6,0,139771
15190,1061520,6,1,37
15190,1061521,6,0,139771
15190,1061522,6,1,37
15190,1061523,6,0,139771
15190,1061524,6,1,37
15190,1061525,6,0,139771
15190,1061526,6,1,37
15190,1061528,6,0,139771
15190,1061529,6,1,37
15190,1061530,6,0,139771
15190,1061531,6,1,37
15190,1061533,6,0,139771
15190,1061534,6,1,37
15190,1061535,6,0,139771
15190,1061536,6,1,37
15190,1061537,6,0,139771
15190,1061538,6,1,37
15190,1061539,6,0,139771
15190,1061540,6,1,37
15190,1061541,6,0,139771
15190,1061542,6,1,37
15190,1061543,6,0,139771
15190,1061544,6,1,37
15190,1061547,6,0,139771
15190,1061548,6,1,37
15190,1061550,6,0,139771
15190,1061551,6,1,37
15190,1061552,6,0,139771
15190,1061553,6,1,37
15190,1061554,6,0,139771
15190,1061555,6,1,37
15190,1061556,6,0,139771
15190,1061557,6,1,37
15190,1061559,6,0,139771
15190,1061560,6,1,37
15190,1061562,6,0,139771
15190,1061563,6,1,37
15190,1061564,6,0,139771
15190,1061565,6,1,37
15190,1061567,6,0,139771
15190,1061568,6,1,37
15190,1061571,6,0,139771
15190,1061572,6,1,37
15190,1061573,6,0,139771
15190,1061574,6,1,37
15190,1061576,6,0,139771
15190,1061577,6,1,37
15190,1061578,6,0,139771
15190,1061579,6,1,37
15190,1061582,6,0,139771
15190,1061583,6,1,37
15190,1061585,6,0,139771
15190,1061586,6,1,37
15190,1061588,6,0,139771
15190,1061589,6,1,37
15190,1061591,6,0,139771
15190,1061592,6,1,37
15190,1061594,7,0,139771
15190,1061595,7,1,37
15190,1061596,7,0,139771
15190,1061597,7,1,37
15238,1062334,6,1,55
15238,1062335,6,0,139773
15238,1062336,6,1,57
15238,1062338,6,1,57
15238,1062339,6,0,139773
15238,1062340,6,1,57
15238,1062341,6,0,139773
15238,1062342,6,1,57
15238,1062343,6,0,139773
15238,1062344,6,1,57
15238,1062345,6,0,139773
15238,1062346,6,1,57
15238,1062349,6,0,139773
15238,1062350,6,1,57
15238,1062352,6,0,139773
15238,1062353,6,1,57
15238,1062354,6,0,139773
15238,1062355,6,1,57
15238,1062356,6,0,139773
15238,1062357,6,1,57
15238,1062359,6,0,139773
15238,1062360,6,1,57
15238,1062361,6,0,139773
15238,1062362,6,1,57
15238,1062364,6,0,139773
15238,1062365,6,1,57
15238,1062367,6,0,139773
15238,1062368,6,1,57
15238,1062369,6,0,139773
15238,1062370,6,1,57
15238,1062372,6,0,139773
15238,1062373,6,1,57
15238,1062375,6,0,139773
15238,1062376,6,1,57
15238,1062378,6,0,139773
15238,1062379,6,1,57
15238,1062381,6,0,139773
15238,1062382,6,1,57
15238,1062383,6,0,139773
15238,1062384,6,1,57
15238,1062385,6,0,139773
15238,1062386,6,1,57
15238,1062387,6,0,139773
15238,1062388,6,1,57
15238,1062390,6,0,139773
15238,1062391,6,1,57
15238,1062392,6,0,139773
15238,1062393,6,1,57
15238,1062394,6,0,139773
15238,1062395,6,1,57
15238,1062397,6,0,139773
15238,1062398,6,1,57
15238,1062399,6,0,139773
15238,1062400,6,1,57
15238,1062401,6,0,139773
15238,1062402,6,1,57
15238,1062403,6,0,139773
15238,1062404,6,1,57
15238,1062405,6,0,139773
15238,1062406,6,1,57
15238,1062408,6,0,139773
15238,1062409,6,1,57
15238,1062411,6,0,139773
15238,1062412,6,1,57
15238,1062413,6,0,139773
15238,1062414,6,1,57
15238,1062415,6,0,139773
15238,1062416,6,1,57
15238,1062417,6,0,139773
15238,1062418,6,1,57
15238,1062419,6,0,139773
15238,1062420,6,1,57
15238,1062423,6,0,139773
15238,1062424,6,1,57
15238,1062425,6,0,139773
15238,1062426,6,1,57
15238,1062427,6,0,139773
15238,1062428,6,1,57
15238,1062430,6,0,139773
15238,1062431,6,1,57
15238,1062432,6,0,139773
15238,1062433,6,1,57
15238,1062434,6,0,139773
15238,1062435,6,1,57
15238,1062436,6,0,139773
15238,1062437,6,1,57
15238,1062438,6,0,139773
15238,1062439,6,1,57
15238,1062441,6,0,139773
15238,1062442,6,1,57
15238,1062444,6,0,139773
15238,1062445,6,1,57
15238,1062446,6,0,139773
15238,1062447,6,1,57
15238,1062448,6,0,139773
15238,1062449,6,1,57
15238,1062450,6,0,139773
15238,1062451,6,1,59
15238,1062454,6,0,139773
15238,1062455,6,1,57
15238,1062457,6,0,139773
15238,1062458,6,1,57
15238,1062459,6,0,139773
15238,1062460,6,1,57
15238,1062462,6,0,139773
15238,1062463,6,1,57
15238,1062465,6,0,139773
15238,1062466,6,1,57
15238,1062468,6,0,139773
15238,1062469,6,1,59
15238,1062473,6,0,139773
15238,1062474,7,1,59
15486,1063585,6,0,95
15486,1063586,6,1,139776
15486,1063587,6,0,95
15486,1063588,6,1,139775
15486,1063589,6,0,100682
15486,1063590,6,1,139775
15486,1063594,6,0,95
15486,1063595,6,1,139775
15486,1063596,6,0,95
15486,1063597,6,1,139775
15486,1063600,6,0,95
15486,1063601,6,1,139775
15486,1063603,6,0,95
15486,1063604,6,1,139776
15227,1063974,3,0,12
15227,1063975,3,1,13
15227,1063976,3,0,12
15227,1063977,3,1,13
15227,1063979,3,0,12
15227,1063980,3,1,13
15227,1063981,3,0,12
15227,1063982,3,1,13
15227,1063983,3,0,12
15227,1063984,3,1,13
15227,1063986,3,0,12
15227,1063987,3,1,13
15227,1063989,3,0,12
15227,1063990,3,1,13
15227,1063991,3,0,12
15227,1063992,3,1,13
15227,1063994,3,0,12
15227,1063995,3,1,13
15227,1063996,3,0,12
15227,1063997,3,1,13
15227,1063998,3,0,12
15227,1063999,3,1,13
15227,1064001,3,0,12
15227,1064002,3,1,13
15227,1064003,3,0,12
15227,1064004,3,1,13
15227,1064005,3,0,12
15227,1064006,3,1,13
15227,1064007,3,0,12
15227,1064008,3,1,13
15227,1064010,3,0,12
15227,1064011,3,1,13
15227,1064013,3,0,12
15227,1064014,3,1,13
15227,1064015,3,0,12
15227,1064016,3,1,13
15227,1064019,3,0,12
15227,1064020,3,1,13
15227,1064021,3,0,12
15227,1064022,3,1,13
15227,1064023,3,0,12
15227,1064024,3,1,13
15227,1064025,3,0,12
15227,1064026,3,1,13
15227,1064027,3,0,12
15227,1064028,3,1,13
15227,1064030,3,0,12
15227,1064031,3,1,13
15227,1064033,3,0,12
15227,1064034,3,1,13
15227,1064035,3,0,12
15227,1064036,3,1,13
15227,1064038,3,0,12
15227,1064039,3,1,13
15227,1064041,3,0,12
15227,1064042,3,1,13
15227,1064044,3,0,12
